state,model,subscription,price
Alabama,hp color LaserJet 5550,3 months of Instant Ink,34.99
Alaska,HP Color LaserJet CP4520 Series,6 months of Instant Ink,34.99
Arizona,HP Color LaserJet CP5225n,no free month,39.99
Arkansas,HP Color LaserJet CP5520 Series,9 months of Instant Ink,39.99
California,HP Color LaserJet M555dn,3 months of Instant Ink,44.99
Colorado,HP Color LaserJet M555x,6 months of Instant Ink,44.99
Connecticut,hp LaserJet 4350,no free month,49.99
Delaware,HP LaserJet 500 color M551,9 months of Instant Ink,104.99
Florida,HP LaserJet 5200,3 months of Instant Ink,109.99
Georgia,HP LaserJet 600 M601,6 months of Instant Ink,114.99
Hawaii,HP LaserJet 600 M602,no free month,129.99
Idaho,HP LaserJet 700 M712,9 months of Instant Ink,129.99
Illinois,HP LaserJet M607,3 months of Instant Ink,199.99
Indiana,HP LaserJet M609,6 months of Instant Ink,199.99
Iowa,HP LaserJet M610,no free month,64.99
Kansas,HP LaserJet M806,9 months of Instant Ink,69.99
Kentucky,HP LaserJet M806X,3 months of Instant Ink,69.99
Louisiana,HP LaserJet P3010 Series,6 months of Instant Ink,104.99
Maine,HP LaserJet P4015,no free month,109.99
Maryland,HP LaserJet Pro 4001dn,9 months of Instant Ink,114.99
Massachusetts,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,79.99
Michigan,HP Color Laserjet Pro MFP m479fdn,6 months of Instant Ink,84.99
Minnesota,HP Color LaserJet M611X,no free month,84.99
Mississippi,HP ColorLaserJet 255dw,9 months of Instant Ink,89.99
Missouri,HP ColorLaserjet Pro MFP 4301FDW,3 months of Instant Ink,94.99
Montana,HP Laserjet M551,6 months of Instant Ink,99.99
Nebraska,HP Laserjet M501dn,no free month,104.99
Nevada,HP Laserjet M611dn,9 months of Instant Ink,109.99
New Hampshire,HP Laserjet M425dn,3 months of Instant Ink,114.99
New Jersey,HP Laserjet Enterprise M554,6 months of Instant Ink,129.99
New Mexico,HP Color Laserjet Pro MFP 4301,no free month,129.99
New York,HP Color Laserjet M751,9 months of Instant Ink,199.99
North Carolina,HP Designjet Z6 (Large Format),no free month,199.99
North Dakota,HP LaserJet 500 color M551,9 months of Instant Ink,104.99
Ohio,HP LaserJet 5200,3 months of Instant Ink,109.99
Oklahoma,HP LaserJet 600 M601,6 months of Instant Ink,114.99
Oregon,HP LaserJet 600 M602,no free month,129.99
Pennsylvania,HP LaserJet 700 M712,9 months of Instant Ink,129.99
Rhode Island,HP LaserJet M607,3 months of Instant Ink,199.99
South Carolina,HP LaserJet M609,6 months of Instant Ink,199.99
South Dakota,HP LaserJet M610,no free month,64.99
Tennessee,HP LaserJet M806,9 months of Instant Ink,69.99
Texas,HP LaserJet M806X,3 months of Instant Ink,69.99
Utah,HP LaserJet P3010 Series,6 months of Instant Ink,104.99
Vermont,HP LaserJet P4015,no free month,109.99
Virginia,HP LaserJet Pro 4001dn,9 months of Instant Ink,114.99
Washington,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,79.99
West Virginia,HP Color Laserjet Pro MFP m479fdn,6 months of Instant Ink,84.99
Wisconsin,HP Color LaserJet M611X,no free month,84.99
Wyoming,HP ColorLaserJet 255dw,9 months of Instant Ink,89.99
